iter	Passed	Remaining
0	269	269168
1	271	135229
2	273	90847
3	275	68687
4	277	55277
5	279	46298
6	281	39912
7	282	35067
8	285	31477
9	288	28540
10	289	26059
11	291	23982
12	293	22264
13	294	20766
14	296	19471
15	302	18633
16	304	17616
17	306	16721
18	308	15917
19	309	15178
20	311	14504
21	314	13976
22	317	13469
23	318	12952
24	319	12473
25	323	12106
26	324	11698
27	326	11319
28	328	11015
29	331	10720
30	333	10424
31	335	10141
32	336	9866
33	338	9613
34	339	9371
35	342	9175
36	344	8977
37	346	8766
38	348	8589
39	350	8407
40	351	8227
41	353	8056
42	356	7939
43	359	7810
44	361	7673
45	363	7547
46	365	7418
47	367	7286
48	376	7303
49	378	7190
50	380	7077
51	381	6962
52	383	6860
53	386	6762
54	387	6661
55	389	6565
56	390	6464
57	392	6377
58	394	6291
59	396	6204
60	398	6139
61	401	6070
62	403	6003
63	405	5927
64	406	5851
65	408	5776
66	409	5702
67	410	5630
68	413	5582
69	416	5526
70	417	5464
71	418	5399
72	420	5336
73	421	5278
74	423	5221
75	424	5164
76	426	5111
77	429	5079
78	431	5029
79	433	4979
80	434	4929
81	435	4879
82	436	4823
83	437	4775
84	439	4728
85	442	4707
86	444	4666
87	446	4623
88	447	4579
89	449	4542
90	451	4505
91	452	4465
92	453	4426
93	457	4408
94	460	4382
95	461	4346
96	463	4313
97	464	4276
98	465	4240
99	467	4205
100	468	4171
101	471	4153
102	474	4131
103	476	4100
104	478	4074
105	479	4045
106	481	4016
107	482	3988
108	487	3984
109	489	3957
110	490	3927
111	491	3897
112	492	3868
113	494	3840
114	495	3813
115	497	3788
116	498	3762
117	501	3750
118	503	3726
119	504	3701
120	506	3677
121	508	3658
122	510	3639
123	512	3621
124	519	3637
125	521	3614
126	522	3592
127	524	3571
128	526	3551
129	527	3532
130	534	3543
131	536	3526
132	537	3505
133	539	3485
134	540	3464
135	542	3444
136	543	3423
137	547	3417
138	548	3398
139	550	3380
140	552	3364
141	553	3344
142	554	3326
143	556	3307
144	560	3302
145	562	3292
146	564	3275
147	566	3259
148	567	3241
149	569	3224
150	570	3208
151	574	3205
152	578	3201
153	580	3189
154	581	3172
155	583	3157
156	585	3141
157	586	3125
158	591	3129
159	593	3115
160	594	3096
161	595	3081
162	597	3066
163	598	3051
164	600	3036
165	601	3022
166	604	3015
167	606	3002
168	607	2988
169	609	2974
170	610	2961
171	612	2949
172	614	2935
173	617	2929
174	619	2919
175	621	2911
176	623	2897
177	624	2885
178	626	2872
179	627	2858
180	628	2845
181	630	2834
182	632	2825
183	634	2813
184	635	2800
185	636	2787
186	638	2775
187	639	2762
188	641	2750
189	642	2738
190	644	2728
191	646	2720
192	647	2708
193	649	2696
194	650	2685
195	651	2673
196	653	2662
197	654	2650
198	655	2639
199	657	2630
200	660	2626
201	662	2616
202	663	2606
203	665	2597
204	666	2586
205	668	2575
206	669	2564
207	671	2556
208	674	2553
209	676	2543
210	677	2533
211	678	2523
212	680	2513
213	681	2503
214	683	2493
215	684	2484
216	685	2474
217	688	2471
218	690	2461
219	691	2452
220	693	2444
221	694	2434
222	696	2425
223	697	2416
224	698	2406
225	700	2397
226	703	2394
227	705	2387
228	706	2379
229	708	2370
230	709	2362
231	710	2353
232	712	2344
233	713	2335
234	714	2327
235	717	2323
236	719	2315
237	720	2307
238	721	2298
239	723	2290
240	724	2281
241	725	2273
242	727	2265
243	728	2257
244	730	2250
245	732	2245
246	733	2237
247	735	2229
248	736	2221
249	737	2213
250	739	2206
251	740	2198
252	741	2190
253	743	2182
254	746	2180
255	747	2173
256	749	2166
257	750	2158
258	751	2151
259	753	2143
260	754	2136
261	755	2129
262	757	2122
263	760	2119
264	762	2114
265	763	2106
266	764	2099
267	766	2093
268	768	2087
269	769	2080
270	770	2073
271	772	2067
272	775	2065
273	777	2059
274	778	2052
275	779	2045
276	781	2038
277	782	2032
278	783	2025
279	785	2019
280	786	2012
281	790	2011
282	791	2006
283	793	2000
284	794	1993
285	796	1987
286	797	1980
287	798	1974
288	800	1968
289	801	1963
290	804	1960
291	806	1954
292	807	1948
293	808	1942
294	810	1936
295	811	1930
296	812	1923
297	814	1917
298	815	1912
299	819	1911
300	820	1906
301	822	1900
302	823	1894
303	824	1888
304	826	1882
305	827	1876
306	828	1871
307	830	1865
308	833	1863
309	835	1858
310	836	1853
311	837	1847
312	838	1841
313	840	1835
314	841	1830
315	843	1825
316	844	1820
317	846	1815
318	849	1812
319	850	1807
320	852	1802
321	853	1797
322	855	1792
323	856	1787
324	858	1782
325	859	1778
326	863	1777
327	865	1772
328	866	1767
329	867	1762
330	869	1757
331	870	1752
332	872	1746
333	873	1741
334	874	1736
335	878	1735
336	879	1730
337	881	1725
338	882	1720
339	883	1715
340	885	1710
341	886	1705
342	887	1700
343	888	1695
344	891	1692
345	893	1689
346	895	1684
347	896	1679
348	897	1674
349	899	1670
350	900	1665
351	902	1661
352	906	1661
353	907	1656
354	909	1652
355	910	1647
356	912	1643
357	913	1638
358	915	1634
359	916	1629
360	918	1625
361	921	1623
362	923	1620
363	924	1615
364	926	1611
365	927	1606
366	928	1601
367	930	1597
368	931	1593
369	933	1588
370	937	1589
371	938	1584
372	940	1580
373	941	1575
374	942	1571
375	944	1566
376	945	1562
377	946	1557
378	948	1553
379	951	1552
380	953	1548
381	954	1544
382	955	1539
383	957	1535
384	958	1531
385	960	1527
386	961	1523
387	963	1519
388	965	1516
389	967	1513
390	969	1509
391	970	1505
392	972	1501
393	973	1497
394	974	1493
395	977	1491
396	980	1488
397	982	1485
398	983	1481
399	987	1481
400	989	1477
401	995	1481
402	998	1479
403	1000	1475
404	1001	1471
405	1005	1470
406	1013	1476
407	1015	1472
408	1017	1470
409	1030	1482
410	1032	1479
411	1036	1479
412	1041	1479
413	1046	1480
414	1047	1477
415	1050	1475
416	1062	1485
417	1065	1484
418	1077	1493
419	1079	1490
420	1082	1489
421	1088	1490
422	1090	1487
423	1092	1484
424	1094	1480
425	1101	1483
426	1104	1481
427	1106	1478
428	1109	1477
429	1114	1477
430	1118	1476
431	1119	1472
432	1121	1468
433	1123	1464
434	1124	1460
435	1128	1459
436	1131	1458
437	1134	1455
438	1136	1451
439	1138	1448
440	1139	1444
441	1143	1443
442	1146	1442
443	1148	1438
444	1150	1435
445	1152	1431
446	1153	1427
447	1155	1423
448	1158	1421
449	1160	1418
450	1162	1414
451	1163	1410
452	1164	1406
453	1166	1402
454	1167	1398
455	1168	1394
456	1170	1390
457	1173	1388
458	1175	1385
459	1176	1381
460	1178	1377
461	1179	1373
462	1181	1369
463	1182	1365
464	1183	1361
465	1184	1357
466	1187	1355
467	1189	1352
468	1190	1348
469	1192	1344
470	1193	1340
471	1194	1336
472	1196	1332
473	1197	1328
474	1198	1324
475	1201	1322
476	1203	1319
477	1204	1315
478	1205	1311
479	1207	1307
480	1208	1303
481	1209	1300
482	1210	1296
483	1212	1292
484	1213	1288
485	1217	1287
486	1218	1283
487	1220	1280
488	1221	1276
489	1222	1272
490	1224	1268
491	1225	1265
492	1226	1261
493	1228	1258
494	1230	1255
495	1232	1252
496	1233	1248
497	1234	1244
498	1236	1241
499	1238	1238
500	1239	1234
501	1240	1230
502	1241	1227
503	1243	1223
504	1245	1221
505	1247	1217
506	1248	1214
507	1250	1210
508	1251	1207
509	1252	1203
510	1253	1199
511	1255	1196
512	1258	1194
513	1259	1191
514	1261	1188
515	1263	1184
516	1264	1181
517	1265	1177
518	1267	1174
519	1268	1171
520	1269	1167
521	1272	1165
522	1274	1162
523	1275	1158
524	1276	1155
525	1278	1151
526	1279	1148
527	1280	1144
528	1282	1141
529	1283	1138
530	1284	1134
531	1288	1133
532	1289	1129
533	1290	1126
534	1292	1123
535	1293	1120
536	1295	1116
537	1296	1113
538	1297	1109
539	1299	1106
540	1302	1105
541	1304	1102
542	1305	1098
543	1307	1095
